Token,Lemma,Xpos1,Xpos2,Xpos3,Xpos4,Xpos5,Xpos6,Xpos7,ID
odhadnúť,odhadnúť,V,I,d,+,-,-,-,5
možný,možný,A,A,i,s,4,x,-,6
vývoj,vývoj,S,S,i,s,4,-,-,7
podnebia,podnebie,S,S,n,s,2,-,-,8
.,.,Z,-,-,-,-,-,-,9
Používajú,používať,V,K,e,p,c,+,-,1
k,k,E,u,3,-,-,-,-,2
tomu,to,P,F,n,s,3,-,-,3
počítačové,počítačový,A,A,i,p,1,x,-,4
modely,model,S,S,i,p,1,-,-,5
klímy,klíma,S,S,f,s,2,-,-,6
.,.,Z,-,-,-,-,-,-,7
Najvýznamnejšie,významný,A,A,n,s,1,y,-,1
meteorologické,meteorologický,A,A,n,s,1,x,-,2
observatórium,observatórium,S,S,n,s,1,-,-,3
na,na,E,u,6,-,-,-,-,4
Slovensku,slovensko,S,S,n,s,6,:,r,5
je,byť,V,K,e,s,c,+,-,6
v,v,E,u,6,-,-,-,-,7
Hurbanove,hurbanov,S,S,n,s,6,:,r,8
.,.,Z,-,-,-,-,-,-,9
